ResRoommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenant_Code,Ext_Ref_Tenant_Id,Roommate_PhoneNumber1,Roommate_PhoneNumber2,Roommate_PhoneNumber3,Roommate_PhoneNumber4,Roommate_UserDefined0,Roommate_UserDefined1,Roommate_UserDefined2,Roommate_UserDefined3,Roommate_UserDefined4,Roommate_UserDefined5,Roommate_UserDefined6,Roommate_UserDefined7,Roommate_UserDefined8,Roommate_UserDefined9,Roommate_SSN,Property_Code,Ref_Property_ID,Unit_Code,Ref_Unit_Id,Ext_Ref_Roommate_Id,Roommate_Salutation,Roommate_LastName,Roommate_FirstName,Roommate_Email,Roommate_ALTEmail,Roommate_MoveIn,Roommate_MoveOut,Occupant_Type,Roommate_Occupant,Roommate_ACHOptOut,Roommate_Relationship,Roommate_Notes,Roommate_Code
t0000001,,,,,12223334444,,,,,,,,,,,,lark,,130-0314,,,,Cruz,Gloria,custtest+goyi1@redisrupt.io,,,,1,0,0,Spouse,,r0000464
t0000001,,,,,,,,,,,,,,,,,lark,,130-0314,,,,,,,,,,1,0,0,Spouse,,r0000465
t0000002,,,,,,,,,,,,,,,,,lark,,160-2235,,,,Chidgey,Scarlett,,,,,,0,,Spouse,,r0000121
t0000003,,,,,12223334444,,,,,,,,,,,,lark,,160-2135,,,,Bradley,James,custtest+james.bradley@redisrupt.io,,,,0,0,0,Spouse,,r0022819
t0000004,,,,,,,,,,,,,,,,,lark,,300-0119,,,,Barnes,Caroline,,,,,,0,,Spouse,,r0000123
t0000004,,12223334444,,,12223334444,,,,,,,,,,,,lark,,300-0119,,,,,,custtest+misteretops@redisrupt.io,,,,0,-1,0,Spouse,,r0000124
t0000007,,,12223334444,,12223334444,,,,,,,,,,,,lark,,160-2130,,,,Salmon,Jennifer,custtest+jmlalko@redisrupt.io,,,,1,0,0,Spouse,,r0000125
t0000008,,,,,,,,,,,,,,,,,lark,,130-0152,,,,Landman,Greg,,,,,,0,,Spouse,,r0000126
t0000011,,12223334444,,,,,,,,,,,,,,,lark,,180-2149,,,,Bain,Simon,custtest+sibain@redisrupt.io,,,,1,0,0,Roommate,,r0000128
t0000011,,,,,,,,,,,,,,,,,lark,,180-2149,,,,Bain,Deborah,custtest+debs@redisrupt.io,,,,0,0,0,Spouse,,r0000129
t0000013,,,12223334444,,,,,,,,,,,,,,lark,,300-0211,,,,Beutler,Chad,custtest+chadbeutler@redisrupt.io,,,,1,-1,0,Spouse,,r0000133
t0000015,,12223334444,,,,,,,,,,,,,,,lark,,250-0276,,,,Krupa,Janice,custtest+tckrupa@redisrupt.io,,,,,0,,Roommate,,r0000134
t0000017,,,,,12223334444,Mazda 3 RED,,,,,,,,,,,lark,,180-2322,,,,Doxsey,Isabelle,custtest+isabellelong@redisrupt.io,,,,0,0,0,Spouse,,r0000135
t0000018,,12223334444,,,12223334444,,,,,,,,,,,,lark,,180-2245,,,,Littleton,Susan,custtest+susanlittleton@redisrupt.io,,,,,0,,Roommate,,r0000136
t0000019,,,,,,,,,,,,,,,,,lark,,110-0143,,,,Stoval,Janet,,,,08/31/2014,0,0,0,Roommate,,r0000605
t0000019,,,12223334444,,,,,,,,,,,,,,lark,,110-0143,,,,Lee,Robert,custtest+blee_20030@redisrupt.io,,,,1,0,0,Roommate,,r0000138
t0000019,,,,,12223334444,,,,,,,,,,,,lark,,110-0143,,,,Dunson,David,custtest+david.dunson.dd@redisrupt.io,,,08/31/2014,1,0,0,Spouse,,r0000156
t0000025,,12223334444,,,,,,,,,,,,,,,lark,,140-2257,,,,Hagen,Michelle,custtest+m7hagen@redisrupt.io,,,,,0,,Roommate,,r0000139
t0000025,,12223334444,,,,,,,,,,,,,,,lark,,140-2257,,,,Goetze,Jonathan,custtest+no@redisrupt.io,,,,0,0,0,Roommate,,r0000140
t0000029,,,,,,,,,,,,,,,,,lark,,180-2142,,,,Stuart,Tonya,,,,,,0,,Roommate,,r0000147
t0000030,,12223334444,,,,,,,,,,,,,,,lark,,150-2307,,,,Jariwala,Ekta,custtest+ektajariwala@redisrupt.io,,,,,0,,Spouse,,r0000142
t0000032,,12223334444,,,,,,,,,,,,,,,lark,,100-0101,,,,Rider,Mary,custtest+gwenrider@redisrupt.io,,,,0,0,0,Roommate,,r0000144
t0000033,,,,,,,,,,,,,,,,,lark,,900-0142,,,,Blank,Tom,,,,,,0,,Spouse,,r0000145
t0000039,,12223334444,12223334444,,12223334444,,,,,,,,,,,,lark,,270-0180,,,,Lamb,Fernando,,,,,,0,,Guarantor,,r0000151
t0000040,,,,,,,,,,,,,,,,,lark,,150-2307,,,,Townsend,David,custtest+davidt@redisrupt.io,,,,0,0,0,Roommate,,r0000058
t0000041,,12223334444,,,,,,,,,,,,,,,lark,,160-2312,,,,Dwyer,William,custtest+WilDwyer@redisrupt.io,,,,,0,,Spouse,,r0000153
t0000042,,,,,12223334444,,,,,,,,,,,,lark,,180-2323,,,,Russell,Scott,custtest+charlottemiller86@redisrupt.io,,,,1,0,0,Roommate,,r0000158
t0000046,,12223334444,,,,,,,,,,,,,,,lark,,500-0231,,,,Raskin,Scott,custtest+sdraskin@redisrupt.io,,,,,0,,Spouse,,r0000154
t0000047,,12223334444,,,,,,,,,,,,,,,lark,,190-2114,,,,Kung,Jeffrey,custtest+pinecone.jeff@redisrupt.io,,,,,0,,Spouse,,r0000155
t0000050,,12223334444,,,,,,,,,,,,,,,lark,,230-0159,,,,Villalobos,Laura,custtest+l_villalobos_l@redisrupt.io,,,,1,0,0,Spouse,,r0000157
t0000056,,,,,,,,,,,,,,,,,lark,,270-0180,,,,Cherry,Karen,,,,,,0,,Roommate,,r0000159
t0000061,,12223334444,,,,,,,,,,,,,,,cove,,116-BARB,,,,Tchikovani,Alexandre,custtest+is stchikovani@redisrupt.io,,,,1,0,0,Spouse,,r0000627
t0000063,,,12223334444,,,,,,,,,,,,,,cove,,110-BARB,,,,Brant,Victoria,custtest+toribrant@redisrupt.io,,,,1,0,0,Spouse,,r0000356
t0000073,,,,,,,,,,,,,,,,,cove,,003-CAPT,,,,Pacific,Meridian,,,,,0,0,0,Other,,r0000461
t0000097,,12223334444,,,,,,,,,,,,,,,cove,,002-CHAN,,,,Allen,Young,custtest+young.allen@redisrupt.io,,,,0,0,0,Spouse,,r0000478
t0000099,,,12223334444,,,,,,,,,,,,,,cove,,130-BARB,,,,Stafford,John,custtest+john.stafford.mr.clarinet@redisrupt.io,,,,0,0,0,Roommate,,r0000359
t0000103,,,,,12223334444,,,,,,,,,,,,lark,,250-0315,,,,Lee,Mei-Yung,custtest+mexnun@redisrupt.io,,,,1,-1,0,Guarantor,,r0000364
t0000104,,12223334444,,,,,,,,,,,,,,,lark,,160-2239,,,,Roberts,Clifton,custtest+croberts.mail@redisrupt.io,,,,,0,,Roommate,,r0000365
t0000105,,,,,12223334444,,,,,,,,,,,,lark,,210-2106,,,Mr.,Paulson,Shawn,custtest+surf@redisrupt.io,,,,,0,,Spouse,,r0000367
t0000110,,12223334444,,,,,,,,Paige,Everson,,,,,,lark,,300-0124,,,,Marmaro,Raymond,,,,,1,0,0,Roommate,,r0000370
t0000113,,,,,,,,,,,,,,,,,cove,,038-GNWD,,,,Porter,Marian,custtest+marianmporter@redisrupt.io,,,,,0,,Spouse,,r0000373
t0000117,,,,,,,,,,,,,,,,,lark,,160-2135,,,,Hemedes,Eric,custtest+erichemedes@redisrupt.io,,,,,0,,Spouse,,r0000374
t0000117,,12223334444,,,,,,,,,,,,,,,lark,,160-2135,,,,Bass,Herbert,custtest+herbbasswrites@redisrupt.io,,,,,0,,Guarantor,,r0000375
t0000118,,,,,,,,,,,,,,,,,lark,,190-2114,,,,Williams,Jacqueline,,,,,,0,,Other,,r0000377
t0000119,,,,,,,,,,,,,,,,,cove,,008-SEAD,,,,Wilhelm Knuetter,Meghan,custtest+meghanfw@redisrupt.io,,,,1,0,,Spouse,,r0000378
t0000120,,12223334444,,,,,,,,,,,,,,,lark,,100-0104,,,,Hamblet,Benjamin,custtest+bhamblet@redisrupt.io,,,,,0,,Spouse,,r0000379
t0000122,,,,,12223334444,,,,,,,,,,,,lark,,130-0154,,,,Corcoran,Felicia,custtest+nacracfms@redisrupt.io,,,,1,0,,Spouse,,r0000380
t0000123,,,12223334444,,,,,,,,,,,,,,lark,,140-2153,,,,Powers,Christinna,custtest+christinnapowers@redisrupt.io,,,,,0,,Spouse,,r0000382
t0000124,,12223334444,,,,,,,,,,,,,,,lark,,190-2211,,,,Bartels,Brandy,custtest+brandy.bartels@redisrupt.io,,,,1,0,0,Spouse,,r0000383
t0000125,,,,,,,,,,,,,,,,,lark,,180-2249,,,,Tian,Lily,,,,,0,0,0,Spouse,,r0000413
t0000126,,12223334444,,,,,,,,,,,,,,,lark,,270-0176,,,,Jackson,Star,custtest+laura17williams@redisrupt.io,,,,,0,,Roommate,,r0000387
t0000126,,12223334444,,,,,,,,,,,,,,,lark,,270-0176,,,,Williams,Michael,,,,,,0,,Guarantor,,r0000388
t0000131,,12223334444,,,,,,,,,,,,,,,lark,,100-0203,,,,Loecke,Melissa,custtest+loeckem@redisrupt.io,,,,,0,,Roommate,,r0000393
t0000132,,,,,,,,,,,,,,,,,lark,,900-0142,,,,Ramos,Juan,,,,09/25/2014,0,0,0,Other,,r0000394
t0000132,,,,,,,,,,,,,,,,,lark,,900-0142,,,,Hubbard,Antonio,,,,,0,0,0,,,r0000628
t0000133,,,,,,,,,,,,,,,,,lark,,190-2112,,,,Garcia,Lydia,,,,,0,0,0,Other,,r0000395
t0000134,,12223334444,,,,,,,,,,,,,,,cove,,005-SALT,,,,Ayala,Rajasekhar,,,,,0,0,0,Spouse,,r0000396
t0000136,,12223334444,,,,,,,,,,,,,,,lark,,500-0132,,,,Silva,Nicholas,custtest+nickkroik1@redisrupt.io,,,,,0,,Other,,r0000397
t0000138,,12223334444,,,,,,,,,,,,,,,lark,,180-2142,,,,Snelling,Gerry,,,,,,0,,Spouse,,r0000398
t0000139,,,,,,,,,,,,,,,,,lark,,230-0267,,,,Knight,Simon,custtest+simon@redisrupt.io,,05/02/2014,,0,-1,0,Roommate,,r0000459
t0000141,,,,,,,,12223334444,,,,,,,,,lark,,210-2201,,,,Berger,Yuki,custtest+chemichangenkikana@redisrupt.io,,02/25/2014,,1,0,0,Roommate,,r0000417
t0000141,,,,,,,,12223334444,,,,,,,,,lark,,210-2201,,,,Crawley,Taylor,custtest+taylorbrookcrawley@redisrupt.io,,02/25/2014,,1,0,0,Roommate,,r0000419
t0000141,,12223334444,,,,,,,,,,,,,,,lark,,210-2201,,,,Balser,Clement,custtest+clementskyy@redisrupt.io,,,,1,0,0,Roommate,,r0000420
t0000143,,12223334444,12223334444,,12223334444,Toyota Corolla,JZRCS4U,,,,,,,,,,lark,,140-2155,,,,Washington,Curtis,,,02/03/2014,,1,0,0,,,r0000401
t0000144,,,12223334444,,12223334444,Nissan/Rogue,6LVN376,,,,,,,,,,lark,,100-0206,,,,Washington,Teresa,custtest+tazzwash@redisrupt.io,,02/03/2014,,1,0,0,,,r0000400
t0000145,,12223334444,,,,,,,,,,,,,,,lark,,210-2203,,,,Horton,Benjamin,custtest+hortonben@redisrupt.io,,,,,0,,Spouse,,r0000402
t0000146,,,,,,,,,,,,,,,,,lark,,230-0271,,,,Mitchell,Edward,,,,04/10/2016,0,-1,0,Guarantor,,r0000403
t0000147,,,,,,,,,,,,,,,,,lark,,100-0303,,,,Fairchild,Nancy,custtest+fairchild1@redisrupt.io,,,,0,0,0,Spouse,,r0000032
t0000149,,,12223334444,,,,,,,,,,,,,,lark,,100-0205,,,,Stern,Matthew,custtest+mstern@redisrupt.io,,,,,0,,Guarantor,,r0000406
t0000150,,,,,,,,,,,,,,,,,lark,,180-2142,,,,Boudreaux,Jaiara,custtest+jaiaraboudreaux@redisrupt.io,,,,0,0,0,Spouse,,r0000407
t0000150,,,,,,,,,,,,,,,,,lark,,180-2142,,,,Boudreaux,Christopher,custtest+brock_boudreaux@redisrupt.io,,,06/13/2015,0,0,0,Guarantor,,r0000408
t0000153,,,,,,,,,,,,,,,,,lark,,300-0213,,,,Love,Sarkis,,,,02/27/2015,1,0,0,Roommate,,r0022842
t0000153,,,12223334444,,,,,,,,,,,,,,lark,,300-0213,,,,McRee,Leo,custtest+leomcree@redisrupt.io,,,01/15/2015,1,0,0,Other,,r0000410
t0000155,,,,,,,,,,,,,,,,,lark,,250-0278,,,,Tian,Lily,,,,,,0,,Spouse,,r0000385
t0000156,,12223334444,,,,,,,,,,,,,,,cove,,016-CAPT,,,,Naveau,Stephanie,custtest+stephanie.adrien@redisrupt.io,,,,0,0,0,Spouse,,r0000415
t0000161,,,,,,,,,,,,,,,,,cove,,016-GNWD,,,,Simon,Borovkov,,,11/18/2013,,2,0,0,Other,,r0000219
t0000161,,,,,,,,,,,,,,,,,cove,,016-GNWD,,,,Nikolay,Samokhvalov,custtest+samokhvalov@redisrupt.io,,06/18/2010,,1,0,0,Roommate,,r0000220
t0000162,,12223334444,,,,,,,,,,,,,,,cove,,021-GNWD,,,,Veronica,Steiner,custtest+v.steins7@redisrupt.io,,10/16/2004,,1,-1,0,Roommate,,r0000243
t0000163,,,,,,,,,,,,,,,,,lark,,190-2214,,,,Craney,Gertrude,custtest+TrudyCraney1234@redisrupt.io,,,,0,0,0,Spouse,,r0000479
t0000165,,,12223334444,,,,,,,,,,,,,,lark,,140-2330,,,,Esplin,Randy,custtest+randy.esplin@redisrupt.io,,,,,0,,Roommate,,r0000425
t0000165,,,,,,,,,,,,,,,,,lark,,140-2330,,,,Polen,Nancy,custtest+gpolen@redisrupt.io,,,,,0,,Guarantor,,r0000426
t0000166,,,,,,,,,,,,,,,,,cove,,009-SALT,,,,Trinity,Dohoney,,,07/01/2009,,2,0,0,Other,,r0000184
t0000169,,12223334444,,,,,,,,,,,,,,,lark,,100-0112,,,,Dodds,Parvaneh,custtest+parvaneh_larizadeh@redisrupt.io,,,,,0,,Spouse,,r0000433
t0000171,,12223334444,,,,,,,,,,,,,,,lark,,250-0279,,,,Ferrer,Marianne,custtest+mercedez240@redisrupt.io,,,,,0,,Guarantor,,r0000434
t0000172,,12223334444,,,,,,,,,,,,,,,lark,,300-0120,,,,Darcy,Stephanie,custtest+peteandsteph2@redisrupt.io,,,,,0,,Spouse,,r0000435
