ResTenants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,Tenant_Code,Ext_Ref_Tenant_Id,Prospect_Code,Ref_Prospect_Id,Unit_Code,First_Name,Last_Name,Social_Security_Number,Move_In_Date,Move_Out_Date,Notice_Date,Lease_From_Date,Lease_To_Date,Lease_Sign_Date,Email,Phone_Number_1,Phone_Number_2,Phone_Number_3,Phone_Number_4,Status,General_Info_1,General_Info_2,General_Info_3,General_Info_4,General_Info_5,General_Info_6,General_Info_7,General_Info_8,General_Info_9,General_Info_10,General_Info_11,General_Info_12,General_Info_13,General_Info_14,Address1,Address2,City,State,Zipcode,Rent,Due_Day,Last_Month_Rent_Deposit,Paid_To_Date,Salutation,Renew_Date,Security_Deposit_0,Security_Deposit_1,Security_Deposit_2,Security_Deposit_3,Security_Deposit_4,Security_Deposit_5,Security_Deposit_6,Security_Deposit_7,Security_Deposit_8,Security_Deposit_9,Non_Sufficient_Fund_Count,Late_Fee_Count,Middle_Name,LateMin,LatePerDay,LateType,LateGrace,LatePercent,LateGrace2,LateAmount2,LatePercent2,LateAmountMax,LatePercentMax,LateDaysMax,LateTypeMax,LateType2,LateMinDueAmount,LeaseGrossSQFT,MovedOut,MaintenanceNotes,LeaseType,BillToCustomer,ExtraAddressLine,Gets1099,Payment_Type,Payable_Type,ACHOptOut,MTM,LeaseTerm,NoticeType,Affordable_Type,Ref_Unit_Id,RGI_Type
lark,,t0000032,,p0001002,,100-0101,Therese,Garcia,,11/09/2013,11/09/2014,10/09/2014,11/09/2013,11/08/2014,10/20/2013,custtest+tgarcia411@redisrupt.io,,,,12223334444,1,,,,,,,,,,,,,,,28 Ridge Ave.,,San Rafael,CA,94901,2420,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,,,0,1,0,0,0,12,1,0,,0
lark,,tl079949,,pl079949,,100-0101,Robert,Duncan,,12/14/2014,,,09/01/2016,08/31/2017,11/29/2014,custtest+rob@redisrupt.io,12223334444,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 101,Larkspur,CA,94939,2875,1,0,,,08/06/2016,500,250,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,,0,,0,0,,,100,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,t0812749,,p0000329,,100-0101,Dipan,Mann,,02/01/2011,09/28/2013,08/29/2013,02/01/2013,01/31/2014,01/26/2011,custtest+dipanmann@redisrupt.io,,12223334444,,,1,,,,,,,,,,,,,,,900 Lincoln Village Cir,#244,Larkspur,CA,94939,1975,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tl790695,,p0000330,,100-0102,Michael,Wittenberg,,11/16/2010,09/24/2013,09/01/2013,12/01/2012,11/30/2013,11/01/2010,custtest+wittenbergmichael@redisrupt.io,,,,12223334444,1,,,,,,,,,,,,,,,2120 Centro St,,Tiburon,CA,94920,1935,1,0,,,,1100,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,t0000028,,p0000987,,100-0102,Marsha,Pritchard,,11/01/2013,10/27/2014,10/01/2014,11/01/2013,10/31/2014,10/15/2013,custtest+mapritchard29@redisrupt.io,,12223334444,,12223334444,1,,,,,,,,,,,,,,,336 Bon Air Ctr. #314,,Greenbrae,CA,94904,2420,1,0,,,,0,0,0,0,0,0,0,0,0,0,2,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,,,0,1,0,0,0,12,0,0,,0
lark,,t0004224,,p0004224,,100-0102,Sofia,Dorr,,11/08/2014,11/07/2015,10/12/2015,11/08/2014,11/07/2015,10/25/2014,custtest+stonelivia@redisrupt.io,,12223334444,,,1,,,,,,,,,,,,,,,1 Letterman Dr. #C-3600,,San Francisco,CA,94929,2625,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,0,0,0,0,12,1,0,,0
lark,,t0630790,,p0630790,,100-0102,Jacob,Clymo,,03/04/2016,,,03/04/2016,05/03/2017,02/13/2016,custtest+jjc9780@redisrupt.io,,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 102,Larkspur,CA,94939,2985,1,0,,,,99,250,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,0,,0,0,,0,0,0,0,,14,,0,,0
lark,,t0629816,,p0629816,,100-0103,Valerie,Specht,,,,,01/20/2016,03/19/2017,,custtest+vspecht@redisrupt.io,,12223334444,,12223334444,7,,,,,,,,,,,,,,,5 Brookside Dr,,San anselmo,CA,94960,3290,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,14,0,0,,0
lark,,t0008375,,p0628322,,100-0103,Joe,Gusich,,02/03/2016,04/09/2016,03/04/2016,02/03/2016,11/02/2016,01/15/2016,custtest+joseph@redisrupt.io,12223334444,12223334444,,,1,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 103,Larkspur,CA,94939,3290,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,9,0,0,,0
lark,,t0640465,,p0640465,,100-0103,Kristin,Johnson,,,,,,,,custtest+ksgreen2@redisrupt.io,,12223334444,,,7,,,,,,,,,,,,,,,7817 Rue Morgan,,Ocean Springs,MS,39564,3715,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,12,0,0,,0
